VPOP,AKT,AKTi,AKTi_blood,AKTi_C,AKTi_gut,BRAF,CELLS,CRAF,ERK,ERKi,ERKi_blood,ERKi_C,ERKi_gut,FB1,FB2,FB3,FB4,MEK,MEKi,MEKi_blood,MEKi_C,MEKi_gut,MEKi_V3,PI3K,RAFi,RAFi_blood,RAFi_C,RAFi_gut,RAS,RTK1,RTK1i,RTK1i_blood,RTK1i_C,RTK1i_gut,RTK2,RTK3,S6,TD1,AKTb,AKTt,BRAFb,BRAFt,CRAFb,CRAFt,dmax,ERKb,ERKt,F1,F2,F3,F4,F5,G13,G14,G23,G24,G33,G34,Gspry,Gdusp,k1,k2,k3,k4,k5,k6,k7,k8,ka1,ka2,ka3,ka4,ka5,ke1,ke2,ke3,ke4,ke5,kFB1,kFB2,kFB3,kFB4,kg,ki1,ki2,ki3,ki4,ki5,MEKb,MEKt,p1,p2,p3,p4,p5,PI3Kb,PI3Kt,q2,r1,r2,r3,r4,r5,RASb,RASt,RTK1b,RTK1t,RTK2b,RTK2t,RTK3b,RTK3t,S6b,S6t,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tauFB1,tauFB2,tauFB3,tauFB4,taug,taui1,taui2,taui3,taui4,taui5,umax,V1,V2,V3,V3b,V4,V5,Vmax,wOR,wRAS,PW
11,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,0.9,0,0.909123748,0.041469748,0,1,1,1,1,1,1,1,0,0,0,0,0,0.724577068,0.798230578,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.006918983,0.087320113,1,1,1,1,1,0.023414544,1,210,3.435989897,1.167725843,0.959576785,1,10,1.965252146,1.965252146,0,0.147669952,0,0.030405639,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,0.994978247,0.76130029,0
12,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,1.345433733,0,1.092327722,0.044089722,0,1,1,1,1,1,1,0.608542182,0,0,0,0,0,0.179534415,0.316744813,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.020474231,1.163565069,1,1,1,1,1,0.00147647,1,210,3.435989897,1.167725843,0.959576785,1,10,0.044062351,2.141367182,0,0.016788888,0,0.043926547,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,1,0.953797763,0
13,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,1.270219764,0,1.100394396,0.037875128,0,1,1,1,1,1,1,0.063900558,0,0,0,0,0,0.104336494,1,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.000164816,0.469477901,1,1,1,1,1,1.516202021,1.516202021,210,3.435989897,1.167725843,0.959576785,1,10,0.022033594,1.124655892,0,1.410718127,0,0.155726808,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,1,0.7292655,0
14,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,1.826757798,0,0.962354637,0.044978652,0,1,1,1,1,1,1,0.925428872,0,0,0,0,0,0.379445569,0.278455287,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.006814348,11.74694343,1,1,1,1,1,0.017153521,1,210,3.435989897,1.167725843,0.959576785,1,10,0.018037506,2.218998354,0,0.514867087,0,0.016512199,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,0.992256194,0.955487841,6.93579E-14
15,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,1.932039862,0,0.945694833,0.045122336,0,1,1,1,1,1,1,1,0,0,0,0,0,0.256085682,0.064320496,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.003213051,1.953417688,1,1,1,1,1,0.096018253,1,210,3.435989897,1.167725843,0.959576785,1,10,0.033771458,0.645805037,0,0.068762361,0,0.001286423,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,0.942743829,0.996510911,0.000179637
16,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,1.142259533,0,1.056986644,0.036511545,0,1,1,1,1,1,1,0.691507992,0,0,0,0,0,0.840322073,0.200984002,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.011513351,0.438724653,1,1,1,1,1,0.104438657,1,210,3.435989897,1.167725843,0.959576785,1,10,0.23599074,5.258007225,0,0.441762844,0,0.568508037,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,0.998828408,0.801452115,0
17,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,0.9,0,0.893456371,0.041591826,0,1,1,1,1,1,1,0.087465099,0,0,0,0,0,0.3885171,0.629212154,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.004994026,0.674779408,1,1,1,1,1,0.005122299,1,210,3.435989897,1.167725843,0.959576785,1,10,0.017828125,1.436322113,0,0.270022105,0,0.000945263,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,1,0.799460001,0.000179637
18,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,4.758817929,0,1.09054071,0.036589921,0,1,1,1,1,1,1,0.380072574,0,0,0,0,0,1,0.22292999,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,1.50004744,1.50004744,1,1,1,1,1,0.381581066,1,210,3.435989897,1.167725843,0.959576785,1,10,0.768942334,0.91095774,0,0.011451469,0,0.044599804,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,1,0.953725655,3.42093E-13
19,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,1.592610627,0,0.95442847,0.041740392,0,1,1,1,1,1,1,0.410810958,0,0,0,0,0,0.517946036,0.225348638,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.037912665,5.491222156,1,1,1,1,1,0.053467087,1,210,3.435989897,1.167725843,0.959576785,1,10,0.017703463,0.226993005,0,0.003321819,0,0.123000326,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,1,0.88944804,1.23335E-08
20,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,2.064109149,0,0.944734206,0.040940672,0,1,1,1,1,1,1,0.332173871,0,0,0,0,0,1,0.429801083,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.01549101,0.551200224,1,1,1,1,1,0.009749107,1,210,3.435989897,1.167725843,0.959576785,1,10,0.070701477,2.169199104,0,0.167518288,0,0.002689127,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,1,0.983288559,0.000179637
21,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,2.911370592,0,1.174116115,0.04831869,0,1,1,1,1,1,1,0.72036491,0,0,0,0,0,0.515355262,0.134002181,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.095495095,1.945416063,1,1,1,1,1,0.104758126,1,210,3.435989897,1.167725843,0.959576785,1,10,0.008992569,1.353705432,0,0.001769644,0,0.612701006,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,0.975556642,0.892608496,0.009605551
22,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,1.542226603,0,1.020143596,0.044945327,0,1,1,1,1,1,1,0.319620029,0,0,0,0,0,0.366706807,0.234470274,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.071487861,1.039568082,1,1,1,1,1,0.003139665,1,210,3.435989897,1.167725843,0.959576785,1,10,0.012849533,0.233198454,0,0.374276655,0,0.103381561,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,1,0.756656579,0
23,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,2.729269966,0,0.952603003,0.037672269,0,1,1,1,1,1,1,1,0,0,0,0,0,0.107925264,0.372147592,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.023009473,1.133374032,1,1,1,1,1,0.090817123,1,210,3.435989897,1.167725843,0.959576785,1,10,0.061967009,1.580592142,0,0.013742723,0,0.004288314,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,1,0.782945791,0.000179637
24,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,0.9,0,1.002337525,0.044436639,0,1,1,1,1,1,1,0.117878525,0,0,0,0,0,0.793550907,1,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.004646855,0.402975582,1,1,1,1,1,0.075239587,1,210,3.435989897,1.167725843,0.959576785,1,10,0.021427438,0.325688466,0,0.459522382,0,2.152907008,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,1,0.885369385,0.000179637
25,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,1.082046459,0,0.947864172,0.04120201,0,1,1,1,1,1,1,0.186174733,0,0,0,0,0,0.329424654,0.778796572,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.000222259,1.030694027,1,1,1,1,1,0.024637777,1,210,3.435989897,1.167725843,0.959576785,1,10,0.221518472,0.316094151,0,0.020110536,0,0.036145638,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,0.992500519,0.887578262,0.000179637
26,1,0,0,0,0,0.95,1,0,0.7,0,0,0,0,0.7,0.7,0.7,0.7,0.65,0,0,0,0,0,1,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0.95,1,0,1,0.9,0.966536854,0,0.996845823,0.035502071,0,1,1,1,1,1,1,0.273162851,0,0,0,0,0,0.576077024,0.429821474,0.75,0.1,2.230710131,2.609115337,2.74625277,3,1,1,1,4.5,33,35,1,0.148531539,0.28245614,0.630136986,0.882162162,1,0.1,0.436051023,2.975231742,2,0.468373391,1,2,0.65,0.65,1,0.187918343,1.019732142,1,1,1,1,1,0.006843447,1,210,3.435989897,1.167725843,0.959576785,1,10,0.026818649,1.710144121,0,0.021570857,0,0.095377563,0,0,0,1,0.5,2.324980605,0.671868475,0.1,0.408684957,0.1,0.25,0.25,10,0.348731219,0.1,0.1,0.241479374,0.0304,0.028338973,0.000779559,0.025468539,1,0.075,4.5,114,487,295,171,1,12,0.985239934,0.838369584,0
